 cookie=0x0, duration=6.207s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=ee:a1:b8:c4:55:bb,nw_src=93.18.186.50,nw_dst=10.0.0.14,nw_tos=0,tp_src=2,tp_dst=80 actions=output:2
 cookie=0x0, duration=6.159s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=c6:1b:7b:68:8a:a4,nw_src=6.82.192.201,nw_dst=10.0.0.32,nw_tos=0,tp_src=2,tp_dst=80 actions=output:4
 cookie=0x0, duration=6.118s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=4e:41:d9:3a:95:c2,nw_src=228.126.115.83,nw_dst=10.0.0.23,nw_tos=0,tp_src=2,tp_dst=80 actions=output:3
 cookie=0x0, duration=6.012s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=f2:9f:5e:8d:22:af,nw_src=208.157.61.57,nw_dst=10.0.0.26,nw_tos=0,tp_src=2,tp_dst=80 actions=output:4
 cookie=0x0, duration=5.971s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=7a:4b:c5:e6:b2:f2,nw_src=19.242.83.41,nw_dst=10.0.0.31,nw_tos=0,tp_src=2,tp_dst=80 actions=output:4
 cookie=0x0, duration=5.910s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=ee:ab:49:af:85:44,nw_src=175.141.130.185,nw_dst=10.0.0.13,nw_tos=0,tp_src=2,tp_dst=80 actions=output:2
 cookie=0x0, duration=5.851s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=76:2d:87:43:49:ba,nw_src=233.108.140.223,nw_dst=10.0.0.39,nw_tos=0,tp_src=2,tp_dst=80 actions=output:5
 cookie=0x0, duration=5.755s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=0e:91:14:4a:04:73,nw_src=186.153.147.161,nw_dst=10.0.0.48,nw_tos=0,tp_src=2,tp_dst=80 actions=output:6
 cookie=0x0, duration=5.719s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=0a:e2:79:51:62:df,nw_src=202.225.119.160,nw_dst=10.0.0.21,nw_tos=0,tp_src=2,tp_dst=80 actions=output:3
 cookie=0x0, duration=5.671s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=42:d5:a0:56:46:8a,dl_dst=26:cd:79:53:21:c6,nw_src=80.14.107.22,nw_dst=10.0.0.50,nw_tos=0,tp_src=2,tp_dst=80 actions=output:7
